date,block_time,tx_vol,tx_vol_issues_agg,tx_number,tx_fees,m_total,m_circ_wb,m_circ_mc_lifo,m_circ_mc_fifo,dormancy_1,sdd_1
09/06/02,2009-06-02,555000000000.0,0.0,111.0,0.0,81435000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/03,2009-06-03,355000000000.0,0.0,71.0,0.0,81990000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/04,2009-06-04,330000000000.0,0.0,66.0,0.0,82345000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/05,2009-06-05,150000000000.0,0.0,30.0,0.0,82675000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/06,2009-06-06,140000000000.0,0.0,28.0,0.0,82825000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/07,2009-06-07,80000000000.0,0.0,16.0,0.0,82965000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/08,2009-06-08,410000000000.0,0.0,82.0,0.0,83045000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/09,2009-06-09,455000000000.0,0.0,91.0,0.0,83455000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/10,2009-06-10,410000000000.0,0.0,82.0,0.0,83910000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/11,2009-06-11,445000000000.0,0.0,89.0,0.0,84320000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/12,2009-06-12,430000000000.0,0.0,86.0,0.0,84765000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/13,2009-06-13,390000000000.0,0.0,78.0,0.0,85195000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/14,2009-06-14,360000000000.0,0.0,72.0,0.0,85585000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/15,2009-06-15,420000000000.0,0.0,84.0,0.0,85945000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/16,2009-06-16,355000000000.0,0.0,71.0,0.0,86365000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/17,2009-06-17,395000000000.0,0.0,79.0,0.0,86720000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/18,2009-06-18,400000000000.0,0.0,80.0,0.0,87115000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/19,2009-06-19,435000000000.0,0.0,87.0,0.0,87515000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/20,2009-06-20,390000000000.0,0.0,78.0,0.0,87950000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/21,2009-06-21,405000000000.0,0.0,81.0,0.0,88340000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/22,2009-06-22,680000000000.0,0.0,77.0,0.0,88745000000000.0,300000000000,300000000000,300000000000,6.531508928571425,4572056249999.998
09/06/23,2009-06-23,380000000000.0,0.0,76.0,0.0,89125000000000.0,0,0,0,-8.881784197001252e-16,0.0
09/06/24,2009-06-24,489898000000.0,0.0,97.0,0.0,89505000000000.0,14898000000,14898000000,14898000000,1.679528226006737,647253587326.3889
09/06/25,2009-06-25,440000000000.0,0.0,69.0,0.0,89980000000000.0,100000000000,100000000000,100000000000,1.580579887415824,695455150462.9631
09/06/26,2009-06-26,450000000000.0,0.0,90.0,0.0,90320000000000.0,0,0,0,-1.1102230246251565e-15,0.0001220703125
09/06/27,2009-06-27,420000000000.0,0.0,84.0,0.0,90770000000000.0,0,0,0,-1.1102230246251565e-15,0.0001220703125
09/06/28,2009-06-28,235000000000.0,2500000000.0,47.0,0.0,91190000000000.0,5000000000,2500000000,2500000000,0.020748028120712192,8402951388.88901
09/06/29,2009-06-29,420000000000.0,3000000000.0,84.0,0.0,91420000000000.0,5000000000,2000000000,2000000000,0.02463151041666556,9852604166.666786
09/06/30,2009-06-30,434500000000.0,0.0,86.0,0.0,91835000000000.0,9500000000,9500000000,9500000000,0.033672750713888845,14630810185.185308
09/07/01,2009-07-01,380000000000.0,0.0,75.0,0.0,92260000000000.0,10000000000,10000000000,10000000000,0.033331404320986545,15999074074.074198
09/07/02,2009-07-02,420000000000.0,1000000000.0,84.0,0.0,92630000000000.0,5000000000,4000000000,4000000000,0.026782689701895915,10980902777.7779
09/07/03,2009-07-03,410000000000.0,0.0,82.0,0.0,93045000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/04,2009-07-04,445000000000.0,0.0,89.0,0.0,93455000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/05,2009-07-05,395000000000.0,0.0,79.0,0.0,93900000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/06,2009-07-06,420000000000.0,0.0,84.0,0.0,94295000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/07,2009-07-07,345000000000.0,0.0,69.0,0.0,94715000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/08,2009-07-08,370000000000.0,0.0,74.0,0.0,95060000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/09,2009-07-09,430000000000.0,0.0,86.0,0.0,95430000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/10,2009-07-10,405000000000.0,0.0,81.0,0.0,95860000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/11,2009-07-11,415000000000.0,0.0,83.0,0.0,96265000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/12,2009-07-12,385000000000.0,0.0,77.0,0.0,96680000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/13,2009-07-13,390000000000.0,0.0,78.0,0.0,97065000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/14,2009-07-14,345000000000.0,0.0,69.0,0.0,97455000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/15,2009-07-15,225000000000.0,0.0,45.0,0.0,97800000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/16,2009-07-16,355000000000.0,0.0,71.0,0.0,98025000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/17,2009-07-17,235000000000.0,0.0,47.0,0.0,98380000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/18,2009-07-18,20000000000.0,0.0,4.0,0.0,98615000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/19,2009-07-19,350000000000.0,0.0,70.0,0.0,98635000000000.0,0,0,0,-1.1032841307212493e-15,0.0001239776611328125
09/07/20,2009-07-20,954967000000.0,0.0,71.0,14000000.0,98985000000000.0,604967000000,604967000000,604967000000,10.267936500959099,9856880199016.205
09/07/21,2009-07-21,410000000000.0,0.0,82.0,0.0,99335000000000.0,0,0,0,-1.7763568394002505e-15,0.0
09/07/22,2009-07-22,300000000000.0,0.0,60.0,0.0,99745000000000.0,0,0,0,-1.7763568394002505e-15,0.0
09/07/23,2009-07-23,380000000000.0,0.0,76.0,0.0,100045000000000.0,0,0,0,-1.7763568394002505e-15,0.0
09/07/24,2009-07-24,365000000000.0,0.0,73.0,0.0,100425000000000.0,0,0,0,-1.7763568394002505e-15,0.0
09/07/25,2009-07-25,160000000000.0,0.0,32.0,0.0,100790000000000.0,0,0,0,-1.7763568394002505e-15,0.0
